,firm_Score,Firm,ad_Firm_Role,Job_Location
102,3.6,Synergie Italia S.p.a.,DATA SCIENTIST,Vercelli
103,2.3,IRBM,Research Scientist,Pomezia
104,4.2,Facile.it,Lead Data Scientist,Remote
105,3.8,Wyser,Data Scientist,Roma
106,3.3,Lutech Group,Data Scientist,Bari
107,4,KPMG,Junior Data Scientist,Roma
108,3.9,Immobiliare.it,Data Scientist,Roma
109,3.8,AXXAM SPA,Scientist - Medicinal Chemistry Unit,Torre Annunziata
110,3.9,NTT DATA,AZURE DATA ENGINEER,Bari
111,3.9,Qlik,Customer Success Engineer,Remote
112,4.5,Adroit People Ltd.,System Engineer vehicle,Acerra
113,3.7,Reverse SpA,DATA SCIENTIST- SETTORE AUTOMOTIVE,Remote
114,3.8,Jakala,Junior & Senior Data Scientist,Rome
115,3.8,Capgemini Engineering,Data Scientist & Machine Learning / Computer Vision Engineer,Remote
116,4.6,Sorgenia S.p.A,Data Scientist – Digital Market,Rome
117,4.1,BIP - Business Integration Partners,Data Scientist,Palermo
118,4,Capgemini,Data Engineer / MLOps / DevOps,Milan
119,3.8,Solvay,R&D Battery Platform Lab Technician,Bollate
120,3.3,Banca Sella,Data Specialist,Turin
121,4.1,Chiesi Farmaceutici,Pharmacokinetics Scientist,Parma
122,3.7,AIMS,Clinical Research Scientist,Milan
123,4.1,Corteva,Field Scientist,Cremona
124,3.2,ERRE Technology,Data Scientist,Moncalieri
125,3.4,Intesa San Paolo,Data Science Expert,Turin
126,3.8,Capgemini Engineering,Data Engineer / MLOps / DevOps,Milan
127,3,HR Talent,DATA SCIENTIST,Padova
128,3.8,Thales,Expert data scientist,Roma
129,3.8,Prometeia,Data Scientist,Milan
130,4.1,Siemens Healthineers,Collaboration Scientist CT,Rome
131,3.3,YOOX NET-A-PORTER GROUP,Data Scientist / Senior Data Scientist,Milan
132,3.4,CRIF,Senior Data Scientist,Bologna
133,4,KPMG,Data Scientist Senior Consultant - Regulatory & Risk Advisory,Milan
134,2.9,ELSE Corp,JR MACHINE LEARNING PYTHON ENGINEER,Milan
135,3.9,NTT DATA,AZURE DATA ARCHITECT,Bari
136,3.4,Technogym,"Senior Data Engineer, Business Intelligence",Cesena
137,3.3,Telepass,Data Engineer,Rome
138,3.8,CMCC Foundation,12431 - Data Scientist,Lecce
139,4,Sia Partners,Data Scientist Manager,Rome
140,4.2,Newel Health,Senior Data Scientist,Largo Abate Conforti
141,3.7,Pierre Fabre,Customer Engagement Manager,Milan
142,3.1,TIM Retail,MACHINE LEARNING ENGINEER,Turin
143,4,Enel,Computational Scientist,Roma
144,4.1,BIP - Business Integration Partners,Senior Data Scientist,Palermo
145,4.5,Translated Srl,Machine Translation Scientist,Roma
146,4,BearingPoint,Senior Data Scientist,Turin
147,4,Allianz Technology,CONSULTANT - IT,Milan
148,3.4,Evotec,Cardio Safety Scientist,Verona
149,3.4,Evotec,Early Formulation Scientist,Verona
150,4,Business Competence srl,Data Scientist,Cernusco sul Naviglio
151,5,Open Search Network Ltd,Data Scientist,Rome
152,3.6,Generali Italia,Machine Learning Engineer (MLE),Milano
153,3.3,Serco Europe,Atmospheric Remote Sensing Scientist,Bologna
154,3.4,Evotec,Principal Scientist,Verona
155,3.4,Evotec,Principal Scientist,Verona
